AmericanLeague,NationalLeague,Total,Year
228,227,455,1901
258,98,356,1902
184,151,335,1903
156,175,331,1904
156,182,338,1905
137,126,263,1906
104,141,245,1907
116,151,267,1908
109,150,259,1909
147,214,361,1910
198,316,514,1911
156,287,443,1912
156,287,443,1913
148,267,415,1914
160,225,385,1915
144,239,383,1916
133,202,335,1917
96,139,235,1918
240,207,447,1919
369,261,630,1920
477,460,937,1921
525,530,1055,1922
442,538,980,1923
397,499,896,1924
533,636,1169,1925
424,439,863,1926
439,483,922,1927
483,610,1093,1928
595,754,1349,1929
673,892,1565,1930
576,493,1069,1931
707,651,1358,1932
607,460,1067,1933
688,656,1344,1934
663,662,1325,1935
758,606,1364,1936
806,624,1430,1937
864,611,1475,1938
796,649,1445,1939
883,688,1571,1940
734,597,1331,1941
533,538,1071,1942
473,432,905,1943
459,575,1034,1944
430,577,1007,1945
653,562,1215,1946
679,886,1565,1947
710,845,1555,1948
769,935,1704,1949
973,1100,2073,1950
839,1024,1863,1951
794,907,1701,1952
879,1197,2076,1953
823,1114,1937,1954
961,1263,2224,1955
1075,1219,2294,1956
1024,1178,2202,1957
1057,1183,2240,1958
1091,1159,2250,1959
1086,1042,2128,1960
1534,1196,2730,1961
1552,1449,3001,1962
1489,1215,2704,1963
1551,1211,2762,1964
1370,1318,2688,1965
1365,1378,2743,1966
1197,1102,2299,1967
1104,891,1995,1968
1649,1470,3119,1969
1746,1683,3429,1970
1484,1379,2863,1971
1175,1359,2534,1972
1552,1550,3102,1973
1369,1280,2649,1974
1465,1233,2698,1975
1122,1113,2235,1976
2013,1631,3644,1977
1680,1276,2956,1978
2006,1427,3433,1979
1844,1243,3087,1980
1062,719,1781,1981
2080,1299,3379,1982
1903,1398,3301,1983
1980,1278,3258,1984
2178,1424,3602,1985
2290,1523,3813,1986
2634,1824,4458,1987
1901,1279,3180,1988
1718,1365,3083,1989
1796,1521,3317,1990
1953,1430,3383,1991
1776,1262,3038,1992
2074,1956,4030,1993
1774,1532,3306,1994
2164,1917,4081,1995
2742,2220,4962,1996
2477,2163,4640,1997
2496,2568,5064,1998
2635,2893,5528,1999
2688,3005,5693,2000
2506,2952,5458,2001
2464,2595,5059,2002
2499,2708,5207,2003
2605,2846,5451,2004
2437,2580,5017,2005
2546,2840,5386,2006
2252,2705,4957,2007
2270,2608,4878,2008
2560,2482,5042,2009
2209,2404,4613,2010
2271,2281,4552,2011
2500,2434,4934,2012
2504,2157,4661,2013
2025,2161,4186,2014
2275,2634,4909,2015
2657,2953,5610,2016
3170,2935,6105,2017
2900,2685,5585,2018
3478,3298,6776,2019
